"Date","Event","Event Level","Last","Low","High","Volume"
"12/12/2025","Reversed Down","599.81","598.65","598.65","598.65","0"
"05/14/2025","Reversed Up","639.43","644.05","644.05","644.05","0"
"03/04/2025","Sell Signal","681.67","675.70","675.70","675.70","0"
"03/04/2025","Double Bottom","681.67","675.70","675.70","675.70","0"
"04/15/2024","Reversed Down","774.70","774.06","774.06","774.06","0"
"01/19/2024","Buy Signal","825.87","827.05","827.05","827.05","0"
"01/19/2024","Triple Top","825.87","827.05","827.05","827.05","0"
"11/20/2023","Reversed Up","774.70","779.38","779.38","779.38","0"
"10/19/2023","Reversed Down","726.70","725.09","725.09","725.09","0"
"05/25/2023","Reversed Up","726.70","726.77","726.77","726.77","0"
"03/10/2023","Reversed Down","726.70","720.67","720.67","720.67","0"
"02/02/2023","Spread Triple Top","799.88","818.19","818.19","818.19","0"
"09/12/2022","Buy Signal","726.70","727.32","727.32","727.32","0"
"09/12/2022","Double Top","726.70","727.32","727.32","727.32","0"
"07/29/2022","Reversed Up","681.67","688.27","688.27","688.27","0"
"06/16/2022","Reversed Down","639.43","609.12","609.12","609.12","0"
"06/16/2022","Sell Signal","619.30","609.12","609.12","609.12","0"
"06/16/2022","Double Bottom","619.30","609.12","609.12","609.12","0"
"03/10/2022","Reversed Up","703.82","718.97","718.97","718.97","0"
"03/10/2022","Shakeout","703.82","718.97","718.97","718.97","0"
"03/08/2021","Sell Signal","681.67","676.51","676.51","676.51","0"
"03/08/2021","Double Bottom","681.67","676.51","676.51","676.51","0"
"03/04/2021","Reversed Down","703.82","688.88","688.88","688.88","0"
"10/12/2020","Reversed Up","774.70","781.20","781.20","781.20","0"
"09/18/2020","Reversed Down","703.82","699.98","699.98","699.98","0"
"09/02/2020","Buy Signal","774.70","787.20","787.20","787.20","0"
"09/02/2020","Double Top","774.70","787.20","787.20","787.20","0"
"03/26/2020","Reversed Up","562.64","572.24","572.24","572.24","0"
"03/09/2020","Sell Signal","599.81","552.31","552.31","552.31","0"
"03/09/2020","Double Bottom","599.81","552.31","552.31","552.31","0"
"02/25/2020","Reversed Down","681.67","667.98","667.98","667.98","0"
"01/02/2020","Buy Signal","726.70","729.40","729.40","729.40","0"
"01/02/2020","Double Top","726.70","729.40","729.40","729.40","0"
"11/07/2019","Reversed Up","681.67","691.18","691.18","691.18","0"
